steps,success_rate,ep_reward,ep_length,actor_loss,critic_loss
160089,0.5,-0.5523190583501544,150.0,-8.265686333974202,0.053917747748394806
161139,0.3,-0.5274134959493365,150.0,-8.289178091230847,0.05570213203628858
162189,0.0,-0.5341320846761975,150.0,-8.299645780835833,0.05322904901401628
163239,0.3,-0.5524424612522125,150.0,-8.316034272057669,0.05164912871129457
164289,0.0,-0.5055298549788338,150.0,-8.299487628482638,0.05284262250310608
165339,0.1,-0.5148815044334957,150.0,-8.278754126685007,0.05352012781869798
166389,0.1,-0.5409316122531891,150.0,-8.337030407133557,0.05309380018906224
167439,0.2,-0.5052715752805982,150.0,-8.244764585040864,0.055141479489171794
168489,0.2,-0.5162968294961112,150.0,-8.258720625922795,0.05412024712101334
169539,0.2,-0.5136652333395821,150.0,-8.36176313763573,0.05185102262667247
170589,0.2,-0.5136544917310987,150.0,-8.309613529841105,0.05513189124741725
171639,0.2,-0.5287085345813206,150.0,-8.276369515373593,0.058243458012917214
172689,0.3,-0.5161710509232112,150.0,-8.307594286146617,0.05509241508940856
173739,0.3,-0.5207047462463379,150.0,-8.316272715159824,0.05324944364705257
174789,0.0,-0.5196706524917057,150.0,-8.271302844456264,0.053717456630298074
175839,0.0,-0.4954541964190347,150.0,-8.291371235620408,0.05857825166324065
176889,0.1,-0.5237610510417393,150.0,-8.234472516377767,0.05546094970068051
177939,0.3,-0.5243152124541146,150.0,-8.317097394579934,0.0586991253131557
178989,0.0,-0.508653210742133,150.0,-8.311474845977058,0.056241572759158545
180039,0.4,-0.5395745081560952,150.0,-8.316245714369273,0.05506055493528644
181089,0.0,-0.5186038017272949,150.0,-8.28992799032302,0.05904047272035055
182139,0.2,-0.501824404512133,150.0,-8.319740473429363,0.05775362818457541
183189,0.2,-0.49236878752708435,150.0,-8.284218782697405,0.06252190566577372
184239,0.0,-0.5253193931920188,150.0,-8.34741105079651,0.060025226160706505
185289,0.0,-0.5625966957637242,150.0,-8.32402188618978,0.05779696728413304
186339,0.0,-0.49159032106399536,150.0,-8.304020660037086,0.058612555046344085
187389,0.0,-0.5443274549075535,150.0,-8.260937565848941,0.05492167536790172
188439,0.0,-0.5673828210149493,150.0,-8.218139384587605,0.05744340896162958
189489,0.3,-0.5159342288970947,150.0,-8.243684094292776,0.060023835423801616
190539,0.2,-0.5012453666755131,150.0,-8.29590505191258,0.06027459452283525
191589,0.3,-0.530373045376369,150.0,-8.284717106592087,0.06252850299346305
192639,0.2,-0.5296066871711186,150.0,-8.294972885676794,0.06218323698533434
193689,0.0,-0.5452724354607719,150.0,-8.3068667053041,0.061253980922379665
194739,0.2,-0.48290227566446575,150.0,-8.256361989974977,0.06262644706914823
195789,0.1,-0.5016953945159912,150.0,-8.255227436338151,0.0650729604482296
196839,0.6,-0.5338486816201892,150.0,-8.294952680042813,0.06271227002498649
197889,0.5,-0.5090207457542419,150.0,-8.26267068862915,0.06462174403170744
198939,0.0,-0.5354052100862775,150.0,-8.280000921885174,0.05940290183006297
199989,0.1,-0.5377705522945949,150.0,-8.253991567066738,0.05662447920512585
201039,0.0,-0.5389371514320374,150.0,-8.319807685216267,0.0642736529319414
202089,0.5,-0.5433586367538997,150.0,-8.294615941274731,0.06011056274086946
203139,0.1,-0.5298421255179814,150.0,-8.195053866250175,0.05735226923511143
204189,0.0,-0.532868721655437,150.0,-8.275901862553187,0.059382560698404196
205239,0.0,-0.5150442251137325,150.0,-8.306187139238629,0.06208939123632652
206289,0.2,-0.49940143738474163,150.0,-8.252982967467535,0.06242943777924492
207339,0.4,-0.5308877783162254,150.0,-8.308035042626516,0.0691719408484087
208389,0.1,-0.5214098479066577,150.0,-8.257609163011823,0.06194005920418671
209439,0.4,-0.5351661145687103,150.0,-8.249110859462194,0.06509147355421667
210489,0.0,-0.5178521318095071,150.0,-8.259655456088838,0.06474669592721122
211539,0.1,-0.5266159730298179,150.0,-8.250081061862764,0.06299933276183547
212589,0.5,-0.523194432258606,150.0,-8.259191348666237,0.0656020115590876
213639,0.1,-0.530911888395037,150.0,-8.257022306805565,0.05691458014061763
214689,0.0,-0.5398551566260201,150.0,-8.324428209577288,0.06092849402821489
215739,0.0,-0.5293634406157902,150.0,-8.23164719627017,0.06357978747004554
216789,0.1,-0.5115798243454525,150.0,-8.223298204058693,0.061953298765279004
217839,0.3,-0.49491709045001436,150.0,-8.18764623051598,0.05940239444463736
218889,0.1,-0.5040880356516156,150.0,-8.232651542936052,0.06502785068892296
219939,0.0,-0.5193964881556374,150.0,-8.290137806846982,0.054865900093600865
220989,0.0,-0.5133215231554848,150.0,-8.245874057043165,0.06115033068295035
222039,0.2,-0.5277691228049142,150.0,-8.161030348596118,0.06270442807426056
223089,0.2,-0.5238220138209206,150.0,-8.178515533265614,0.05767704413050696
224139,0.3,-0.5258706935814449,150.0,-8.225480296271186,0.06192445558451471
225189,0.4,-0.5216821432113647,150.0,-8.188439667111352,0.062406346080381245
226239,0.0,-0.5123322648661477,150.0,-8.19283358210609,0.06545193469950131
227289,0.0,-0.5187010339328221,150.0,-8.188494590123495,0.06491385267071781
228339,0.1,-0.5302362995488303,150.0,-8.144780152638754,0.06082537746323007
229389,0.2,-0.519889942237309,150.0,-8.22270880245027,0.06320477660035803
